timestamp,open (USD),high (USD),low (USD),close (USD),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-02-27,82.30000000,82.50000000,82.00000000,82.50000000,82.30000000,82.50000000,82.00000000,82.50000000,4667.02000000,4667.02000000
2023-02-26,80.00000000,82.50000000,79.70000000,82.20000000,80.00000000,82.50000000,79.70000000,82.20000000,48003.55700000,48003.55700000
2023-02-25,81.60000000,83.70000000,77.20000000,80.00000000,81.60000000,83.70000000,77.20000000,80.00000000,85875.66400000,85875.66400000
2023-02-24,85.60000000,86.80000000,79.90000000,81.60000000,85.60000000,86.80000000,79.90000000,81.60000000,149888.72300000,149888.72300000
2023-02-23,85.10000000,87.60000000,83.80000000,85.60000000,85.10000000,87.60000000,83.80000000,85.60000000,94497.29600000,94497.29600000
2023-02-22,87.80000000,87.80000000,82.00000000,85.00000000,87.80000000,87.80000000,82.00000000,85.00000000,115832.83500000,115832.83500000
2023-02-21,92.00000000,92.80000000,85.60000000,87.80000000,92.00000000,92.80000000,85.60000000,87.80000000,144322.35800000,144322.35800000
2023-02-20,90.00000000,93.10000000,86.90000000,92.00000000,90.00000000,93.10000000,86.90000000,92.00000000,143575.39900000,143575.39900000
2023-02-19,91.00000000,95.50000000,89.10000000,90.10000000,91.00000000,95.50000000,89.10000000,90.10000000,213443.98500000,213443.98500000
2023-02-18,86.40000000,91.40000000,86.40000000,91.00000000,86.40000000,91.40000000,86.40000000,91.00000000,136386.17900000,136386.17900000
2023-02-17,84.10000000,88.40000000,83.40000000,86.40000000,84.10000000,88.40000000,83.40000000,86.40000000,229219.52000000,229219.52000000
2023-02-16,89.50000000,90.60000000,83.70000000,84.00000000,89.50000000,90.60000000,83.70000000,84.00000000,216360.63100000,216360.63100000
2023-02-15,83.10000000,89.60000000,82.20000000,89.50000000,83.10000000,89.60000000,82.20000000,89.50000000,180128.98400000,180128.98400000
2023-02-14,82.50000000,83.80000000,78.50000000,83.10000000,82.50000000,83.80000000,78.50000000,83.10000000,301472.95000000,301472.95000000
2023-02-13,77.40000000,84.10000000,73.60000000,82.40000000,77.40000000,84.10000000,73.60000000,82.40000000,458619.61400000,458619.61400000
2023-02-12,79.50000000,80.50000000,76.20000000,77.40000000,79.50000000,80.50000000,76.20000000,77.40000000,55876.81500000,55876.81500000
2023-02-11,78.70000000,79.50000000,77.70000000,79.40000000,78.70000000,79.50000000,77.70000000,79.40000000,49325.62000000,49325.62000000
2023-02-10,77.80000000,80.60000000,76.60000000,78.70000000,77.80000000,80.60000000,76.60000000,78.70000000,167721.29000000,167721.29000000
2023-02-09,87.00000000,91.00000000,76.20000000,77.80000000,87.00000000,91.00000000,76.20000000,77.80000000,394508.62300000,394508.62300000
2023-02-08,88.70000000,90.20000000,84.50000000,87.00000000,88.70000000,90.20000000,84.50000000,87.00000000,111547.48500000,111547.48500000
2023-02-07,84.10000000,89.30000000,84.00000000,88.70000000,84.10000000,89.30000000,84.00000000,88.70000000,96193.12300000,96193.12300000
2023-02-06,85.60000000,87.80000000,83.30000000,84.10000000,85.60000000,87.80000000,83.30000000,84.10000000,62131.20200000,62131.20200000
2023-02-05,89.00000000,89.20000000,83.30000000,85.70000000,89.00000000,89.20000000,83.30000000,85.70000000,114957.49300000,114957.49300000
2023-02-04,91.10000000,92.10000000,88.10000000,89.00000000,91.10000000,92.10000000,88.10000000,89.00000000,136311.89300000,136311.89300000
2023-02-03,88.30000000,94.50000000,86.90000000,91.20000000,88.30000000,94.50000000,86.90000000,91.20000000,258109.59300000,258109.59300000
2023-02-02,88.40000000,93.40000000,87.70000000,88.30000000,88.40000000,93.40000000,87.70000000,88.30000000,272475.04300000,272475.04300000
2023-02-01,82.90000000,88.50000000,80.30000000,88.30000000,82.90000000,88.50000000,80.30000000,88.30000000,163145.60600000,163145.60600000
2023-01-31,81.20000000,83.80000000,80.20000000,82.90000000,81.20000000,83.80000000,80.20000000,82.90000000,100339.27600000,100339.27600000
2023-01-30,87.70000000,88.40000000,79.20000000,81.20000000,87.70000000,88.40000000,79.20000000,81.20000000,150957.55500000,150957.55500000
2023-01-29,84.20000000,88.50000000,83.40000000,87.60000000,84.20000000,88.50000000,83.40000000,87.60000000,121578.55000000,121578.55000000
2023-01-28,87.30000000,88.20000000,83.20000000,84.30000000,87.30000000,88.20000000,83.20000000,84.30000000,133647.24800000,133647.24800000
2023-01-27,88.80000000,89.70000000,85.20000000,87.20000000,88.80000000,89.70000000,85.20000000,87.20000000,154505.25500000,154505.25500000
2023-01-26,85.70000000,90.70000000,85.10000000,88.80000000,85.70000000,90.70000000,85.10000000,88.80000000,226599.70300000,226599.70300000
2023-01-25,79.90000000,87.60000000,78.10000000,85.70000000,79.90000000,87.60000000,78.10000000,85.70000000,187792.42300000,187792.42300000
2023-01-24,86.60000000,88.50000000,78.80000000,79.90000000,86.60000000,88.50000000,78.80000000,79.90000000,188893.01300000,188893.01300000
2023-01-23,85.30000000,90.20000000,84.50000000,86.60000000,85.30000000,90.20000000,84.50000000,86.60000000,165259.17000000,165259.17000000
